,y_true,gb_forecaster,rt_forecaster,sv_forecaster,nn_forecaster,prophet_forecaster
2023-01-23,13233194.0,12687798.411895972,13445629.846790764,13209028.943102317,13093446.468467582,12675075.922669284
2023-01-30,13093833.0,12489086.350491708,13175020.041600287,13078317.38245357,12991538.072816677,13132669.40609799
2023-02-06,13799174.0,13606399.470024122,13264436.096852813,13863493.818502516,13933303.073325673,13825641.883547029
2023-02-13,15000469.0,14899490.499690166,13765647.321724026,14681637.56014001,14638993.992244039,14494325.501912188
2023-02-20,15809262.0,15845777.829489196,15053016.768090593,15494852.818303663,15287489.469726188,15083452.261516
2023-02-27,15347538.0,15360204.93447913,15281596.362047618,15552863.662096791,15462363.828597544,15597312.821932884
2023-03-06,16101944.0,16039001.161376173,15800818.259607935,15868022.711118253,16037562.648056656,16019949.341528898
2023-03-13,16592726.0,16653038.027725648,16242254.51834077,16435829.780445006,16375451.904167164,16328537.50083319
2023-03-20,16346550.0,16534081.682895012,16248533.580164537,16664084.654806882,16439188.304257559,16535186.31980344
2023-03-27,16456251.0,16131360.737182528,16157464.177749341,16267213.415141918,15885461.130178522,16643624.735902542
2023-04-03,16184499.0,16175015.097233059,16150501.82755353,16440372.314290924,16149571.591025965,16616980.295058895
2023-04-10,16539929.0,16528255.104992842,16335998.196338557,16509076.81609322,16451044.543736484,16442739.368278839
2023-04-17,16501087.0,16569183.211881375,16607328.238370242,16839494.800965536,16615275.058819607,16234142.711349709
2023-04-24,16192025.0,16340538.418364735,16263723.534632819,16612114.118090209,16332337.73609421,16196944.899269126
2023-05-01,16250482.0,16045184.76687482,16174232.88462063,16441624.340339832,16337868.006455593,16439260.511465218
2023-05-08,16655463.0,16698494.047424423,16650788.582314685,16732256.641448764,16838242.9735947,16837638.300494302
2023-05-15,17268254.0,17090496.422281038,16939369.33144711,17153175.012256254,16862146.487236757,17154613.85335839
2023-05-22,17182074.0,17220991.976538613,17058851.975071095,17329665.164971802,17187458.387911443,17301713.73985567
2023-05-29,17097208.0,16951896.612783793,17056376.257499058,16907490.665176637,17059339.121755186,17430428.40134226
2023-06-05,17520718.0,17762266.14060225,17534074.04797509,17261970.8506237,17034070.064949602,17718850.272295587
2023-06-12,18052355.0,17984433.82517325,17704269.530655466,17718607.391866434,17744559.260363255,18107635.170870535
2023-06-19,18429093.0,18418649.212105703,18107643.54801849,18077379.86639635,17757441.372951288,18332689.935096152
2023-06-26,18380371.0,18258957.819182236,18064783.927978467,17851514.348427735,18141736.06305883,18245780.94107181
2023-07-03,16960041.0,17337637.79908189,17595288.570088413,17478295.672949303,17431102.40806638,18031446.44389243
2023-07-10,18221421.0,17893384.053748112,17668822.383052457,17504937.3835247,17482936.64575615,18019057.15718722
2023-07-17,18500203.0,18391015.60680691,18034826.596920367,17951403.578457244,17972603.89516677,18279836.690295987
2023-07-24,18349528.0,18394883.390521947,18133589.37868265,17994826.086172856,17957115.476774063,18492798.173400737
2023-07-31,18010171.0,18013437.904044513,17993548.114050236,17363269.676026646,18133586.258600768,18270990.896736518
